restaurant,name,address,city,state,postcode,country
http://www.city.ac.uk/ds/inm713/feiphoon#center_pizza_648_center_st_manchester_ct_6040_us,Center Pizza,648 Center St,Manchester,CT,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#joey_ds_italian_grill_114_pleasant_st_marblehead_ma_1945_us,Joey D's Italian Grill,114 Pleasant St,Marblehead,MA,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#jerrys_pizza_and_subs_924_w_436_altamonte_springs_fl_32714_us,Jerry's Pizza & Subs,924 W 436,Altamonte Springs,FL,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#that_pizza_place_3189_king_ave_w_billings_mt_59102_us,That Pizza Place,3189 King Ave W,Billings,MT,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#bodrum_turkish_mediterranean_584_amsterdam_ave_new_york_nyc_10024_us,Bodrum Turkish Mediterranean,584 Amsterdam Ave,York,Queens,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#bodrum_turkish_mediterranean_584_amsterdam_ave_new_york_nyc_10024_us,Bodrum Turkish Mediterranean,584 Amsterdam Ave,York,Nyc,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#bodrum_turkish_mediterranean_584_amsterdam_ave_new_york_nyc_10024_us,Bodrum Turkish Mediterranean,584 Amsterdam Ave,New City,Queens,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#bodrum_turkish_mediterranean_584_amsterdam_ave_new_york_nyc_10024_us,Bodrum Turkish Mediterranean,584 Amsterdam Ave,New City,Nyc,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#bodrum_turkish_mediterranean_584_amsterdam_ave_new_york_nyc_10024_us,Bodrum Turkish Mediterranean,584 Amsterdam Ave,New York,Queens,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#bodrum_turkish_mediterranean_584_amsterdam_ave_new_york_nyc_10024_us,Bodrum Turkish Mediterranean,584 Amsterdam Ave,New York,Nyc,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#bodrum_turkish_mediterranean_584_amsterdam_ave_new_york_nyc_10024_us,Bodrum Turkish Mediterranean,584 Amsterdam Ave,New York City,Queens,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#bodrum_turkish_mediterranean_584_amsterdam_ave_new_york_nyc_10024_us,Bodrum Turkish Mediterranean,584 Amsterdam Ave,New York City,Nyc,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#positano_greensboro_2605_lawndale_dr_greensboro_guilford_courthouse_national_27408_us,Positano - Greensboro,2605 Lawndale Dr,Greensboro,Guilford Courthouse National,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#francesco_pizzeria_and_ristorante_340_w_broad_st_burlington_burlngtn_city_8016_us,Francesco Pizzeria and Ristorante,340 W Broad St,Burlington,Burlngtn City,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#antonios_pizza_1001_jason_pl_chatham_il_62629_us,Antonio's Pizza,1001 Jason Pl,Chatham,Chicago,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#antonios_pizza_1001_jason_pl_chatham_il_62629_us,Antonio's Pizza,1001 Jason Pl,Chatham,IL,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#angelas_pizza_192_islip_ave_islip_islip_manor_11751_us,Angela's Pizza,192 Islip Ave,Islip,Islip Manor,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#pasquales_224_harper_park_dr_beckley_wv_25801_us,Pasquale's,224 Harper Park Dr,Beckley,WV,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#draft_pick_1620_e_riverside_dr_austin_tx_78741_us,Draft Pick,1620 E Riverside Dr,Austin,TX,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#california_pizza_kitchen_3401_esperanza_xing_austin_tx_78758_us,California Pizza Kitchen,3401 Esperanza Xing,Austin,TX,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#milanos_pizza_9822_libra_ave_sacramento_ca_95827_us,Milanos Pizza,9822 Libra Ave,Sacramento,CA,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#calabria_restaurant_80_s_main_st_new_city_ny_10956_us,Calabria Restaurant,80 S Main St,York,Brooklyn,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#calabria_restaurant_80_s_main_st_new_city_ny_10956_us,Calabria Restaurant,80 S Main St,York,NY,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#calabria_restaurant_80_s_main_st_new_city_ny_10956_us,Calabria Restaurant,80 S Main St,York,Ny,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#calabria_restaurant_80_s_main_st_new_city_ny_10956_us,Calabria Restaurant,80 S Main St,New City,Brooklyn,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#calabria_restaurant_80_s_main_st_new_city_ny_10956_us,Calabria Restaurant,80 S Main St,New City,NY,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#calabria_restaurant_80_s_main_st_new_city_ny_10956_us,Calabria Restaurant,80 S Main St,New City,Ny,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#calabria_restaurant_80_s_main_st_new_city_ny_10956_us,Calabria Restaurant,80 S Main St,New York,Brooklyn,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#calabria_restaurant_80_s_main_st_new_city_ny_10956_us,Calabria Restaurant,80 S Main St,New York,NY,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#calabria_restaurant_80_s_main_st_new_city_ny_10956_us,Calabria Restaurant,80 S Main St,New York,Ny,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#calabria_restaurant_80_s_main_st_new_city_ny_10956_us,Calabria Restaurant,80 S Main St,New York City,Brooklyn,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#calabria_restaurant_80_s_main_st_new_city_ny_10956_us,Calabria Restaurant,80 S Main St,New York City,NY,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#calabria_restaurant_80_s_main_st_new_city_ny_10956_us,Calabria Restaurant,80 S Main St,New York City,Ny,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#kens_west_end_pizza_801_islington_st_portsmouth_nh_3801_us,Ken's West End Pizza,801 Islington St,Portsmouth,NH,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#gina_marias_pizza_1400_county_road_101_n_minneapolis_mn_55447_us,Gina Maria's Pizza,1400 County Road 101 N,Minneapolis,MN,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#ciao_bella_1514_us_41_schererville_in_46375_us,Ciao Bella,1514 Us 41,Schererville,IN,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#cellar_restaurant_302_n_main_st_blacksburg_va_24060_us,Cellar Restaurant,302 N Main St,Blacksburg,VA,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#genos_deli_1751_scottsville_rd_bowling_green_ky_42104_us,Geno's Deli,1751 Scottsville Rd,Bowling Green,KY,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#california_pizza_kitchen_11800_w_broad_st_henrico_va_23233_us,California Pizza Kitchen,11800 W Broad St,Henrico,VA,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#yogurt_zone_2771_e_broad_st_mansfield_tx_76063_us,Yogurt Zone,2771 E Broad St,Mansfield,TX,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#north_end_pizzeria_11628_santa_monica_blvd_los_angeles_wla_90025_us,North End Pizzeria,11628 Santa Monica Blvd,Los Angeles,Wla,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#medway_village_pizza_135_village_st_medway_ma_2053_us,Medway Village Pizza,135 Village St,Medway,MA,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#cuginos_pizza_2151_lemoine_ave_fort_lee_west_fort_lee_7024_us,Cugino's Pizza,2151 Lemoine Ave,Fort Lee,West Fort Lee,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#mainland_grille_2250_rittenhouse_rd_harleysville_pa_19438_us,Mainland Grille,2250 Rittenhouse Rd,Harleysville,PA,None,US
http://www.city.ac.uk/ds/inm713/feiphoon#sal_vito_pizza_910_haddonfield_berlin_rd_voorhees_echelon_8043_us,Sal Vito Pizza,910 Haddonfield Berlin Rd,Voorhees,Echelon,None,US
